yPlus,Re395-18-U,Re395-18-NLTxx,Re395-18-Cxx,Re395-18-Cxy,Re395-18-urms-yPlus,Re395-18-urms,Re395-18-vrms-yPlus,Re395-18-vrms,Re395-18-wrms-yPlus,Re395-18-wrms,Re395-18-uv-yPlus,Re395-18-uv,Re395-37-U,Re395-37-urms-yPlus,Re395-37-urms,Re395-37-vrms-yPlus,Re395-37-vrms,Re395-37-wrms-yPlus,Re395-37-wrms,Re395-37-uv-yPlus,Re395-37-uv,Re395-48-U,Re395-48-urms-yPlus,Re395-48-urms,Re395-48-vrms-yPlus,Re395-48-vrms,Re395-48-wrms-yPlus,Re395-48-wrms,Re395-48-uv-yPlus,Re395-48-uv,Re180-19-yPlus,Re180-19-U,Re180-39-yPlus,Re180-39-U,Re180-54-yPlus,Re180-54-U,Re590-39-yPlus,Re590-39-U,Re1000-30-yPlus,Re1000-30-U
11.838,9.872,0.5328,294.65,20.605,146.134546549359,1.43296089385475,211.658247750309,0.79608938547486,178.048372528686,0.988826815642458,212.160037466966,-0.460893854748604,10.553,34.475138121547,2.97435897435897,205.524861878453,0.723076923076923,136.574585635359,1.02564102564103,179.447513812155,-0.456410256410257,10.859,118.748377142642,2.10875496265076,211.202890097277,0.575174515965153,178.820253259827,0.837721790505579,210.463807928952,-0.321636216531506,1.1266,1.1522,1.12662334324629,1.15216681431347,2.72382373662748,2.80769155283404,18.9514510413729,12.9341317365269,2.13764084107557,2.16249003500746
14.308,11.053,1.7252,278.99,20.998,177.907871408022,1.34078212290503,247.004315391563,0.754189944134078,211.005921118657,0.930167597765363,247.452580871776,-0.368715083798883,11.967,45.524861878453,2.72820512820513,246.629834254144,0.671794871794872,136.574585635359,1.02564102564103,216.574585635359,-0.405128205128206,12.529,146.007112348769,1.83043633695223,247.044612113572,0.550653846877529,212.381507893202,0.789436844977139,246.891075695712,-0.258866916288784,1.568,1.5957,1.56804533774044,1.59570851355971,3.12775032156075,3.18922711571675,25.1071927378737,14.7305389221557,2.23682900662219,2.18120689057572
17.009,12.078,2.7595,260.71,20.947,210.888836851437,1.22346368715084,283.554678352792,0.695530726256983,246.967517479009,0.846368715083798,283.946074331783,-0.284916201117319,13.243,61.878453038674,2.51282051282051,289.502762430939,0.61025641025641,163.093922651934,0.97948717948718,255.469613259668,-0.307692307692307,14.11,178.9587370877,1.56787777296931,282.884828870868,0.518196699719646,248.783186256985,0.717286018025477,283.887331363953,-0.19610890548855,1.7846,1.7943,1.78463709688266,1.79425318065562,3.3516496558597,3.40251609357827,35.3998054023466,16.7065868263473,2.32608555546636,2.33406121104988
19.936,12.954,3.5865,240.83,20.508,246.261666610912,1.1145251396648,321.292610310106,0.662011173184357,283.52791623457,0.762569832402234,322.225939183086,-0.175977653631286,14.373,80,2.3025641025641,330.165745856354,0.569230769230769,188.729281767956,0.912820512820513,295.24861878453,-0.230769230769231,15.57,212.480854987111,1.31324439761416,321.571490394566,0.493619583419573,284.040867781813,0.613411857677762,322.021562835155,-0.133373473573296,2.4736,2.4823,2.47363655044614,2.48233447544767,3.59157677586583,3.64110829800596,64.6892726468349,19.2814371257485,2.42845946696871,2.44324286853142
23.09,13.698,4.1089,220.36,19.76,284.039741745559,0.980446927374302,360.231492322617,0.620111731843576,321.88472217576,0.67877094972067,361.114642223932,-0.092178770949721,15.361,97.2375690607735,2.12307692307692,368.17679558011,0.548717948717949,217.458563535912,0.866666666666667,322.209944751381,-0.169230769230769,16.896,247.154496020472,1.13001674600636,360.258151918265,0.4690424671195,323.853463036484,0.525320337930646,360.721771689841,-0.086522287241048,2.8075,2.8124,2.80751009341944,2.81238608151666,4.12418588786268,4.14439079918354,102.154590854574,20.7784431137725,2.53547937826074,2.44324286853142
26.468,14.33,4.3823,200.14,18.792,321.814471615428,0.854748603351955,397.949352691266,0.636871508379888,360.231492322617,0.620111731843576,399.9,0,16.218,128.176795580111,1.85641025641026,399.116022099447,0.507692307692308,245.745856353591,0.794871794871795,359.337016574586,-0.097435897435898,18.084,283.53961653527,0.97056466028186,398.946318700962,0.452401828889684,360.253636141269,0.445233032908726,398.293036295558,0.007970346397728,3.771,3.7262,3.77101335671614,3.72618191647098,4.41941484794055,4.42789291882555,146.908080373801,21.8562874251497,2.63656092833796,2.66496561910932
30.068,14.871,4.4871,180.81,17.682,360.776770481384,0.754189944134078,,,398.564881410364,0.594972067039106,,,16.961,170.165745856354,1.60512820512821,,,278.895027624309,0.738461538461539,397.790055248619,0.020512820512821,19.14,322.203699173989,0.826940372927917,,,398.371309763486,0.420667206051141,,,4.4823,4.3833,4.48232605420222,4.38325845886862,5.07478733879866,5.03530283403989,196.443762050639,22.6347305389222,2.85834666570784,2.8983579881387
33.887,15.339,4.4201,162.75,16.498,398.521392968254,0.703910614525139,,,,,,,17.605,217.016574585635,1.38974358974359,,,309.834254143646,0.687179487179487,,,20.072,360.298793911227,0.683327375016465,,,,,,,5.2518,5.0299,5.25180989667856,5.02987623946251,5.43018291375971,5.29069931579647,251.999366083568,23.2934131736527,3.09880165330875,3.12361698673219
37.924,15.747,4.2613,146.2,15.289,,,,,,,,,18.167,255.469613259668,1.17435897435897,,,343.425414364641,0.651282051282051,,,20.891,398.402920202457,0.587333245526559,,,,,,,6.1545,5.9167,6.15446423377064,5.91672340308882,5.82734760599185,5.72431896687078,316.644457009755,23.9520958083832,3.36283935513823,3.3838848406801
42.176,16.107,4.034,131.21,14.092,,,,,,,,,18.66,296.574585635359,1.01025641025641,,,377.016574585635,0.615384615384615,,,21.61,,,,,,,,,7.212,6.7525,7.21199472077321,6.75245793202737,6.6915080089046,6.49613361595227,381.668278525973,24.4311377245509,3.48147791466273,3.404041454369
46.641,16.429,3.7609,117.74,12.931,,,,,,,,,19.097,336.795580110497,0.892307692307693,,,396.022099447514,0.57948717948718,,,22.241,,,,,,,,,8.4524,7.7773,8.45240199286426,7.7773092093106,7.20178783439154,6.88213265577255,455.280393248695,24.8502994011976,3.65485596131481,3.65359952861253
51.316,16.719,3.4748,105.7,11.824,,,,,,,,,19.489,374.364640883978,0.697435897435897,,,,,,,22.797,,,,,,,,,9.7308,9.0523,9.90668376432521,8.87645635201496,8.18227237884239,7.7795768566494,521.03558936064,25.2095808383234,3.7992861040645,3.80194793941284
56.197,16.985,3.1861,94.982,10.781,,,,,,,,,19.844,397.348066298342,0.57948717948718,,,,,,,23.287,,,,,,,,,11.5904,10.0779,11.2570204665009,9.85019397194868,8.70524164117978,8.14045537256353,584.000529575779,25.4491017964072,3.96128309659998,3.9281134102804
61.283,17.23,2.9018,85.441,9.806,,,,,,,,,20.169,,,,,,,,,23.72,,,,,,,,,13.8067,11.2172,13.2173967520017,11.1028349746344,9.2201493056587,8.6545768566494,,,4.02389377538985,3.9281134102804
66.57,17.459,2.6393,76.968,8.9046,,,,,,,,,20.468,,,,,,,,,24.104,,,,,,,,,15.9736,12.1287,14.6451499502706,12.4681587585795,10.3837403971294,9.5378199089339,,,4.13100070634066,4.13456599897278
72.054,17.675,2.4009,69.44,8.0776,,,,,,,,,20.746,,,,,,,,,24.449,,,,,,,,,18.7522,13.154,17.7048848508272,13.9485526708445,10.9598421778881,9.84881159596286,,,4.46923252319224,4.45678248861209
77.733,17.88,2.1818,62.737,7.3232,,,,,,,,,21.006,,,,,,,,,24.761,,,,,,,,,22.0124,14.0658,20.7915658401506,15.4284691136974,12.1193482628538,10.9010146804836,,,4.83682149646642,4.80156667013275
83.603,18.075,1.9781,56.761,6.637,,,,,,,,,21.253,,,,,,,,,25.047,,,,,,,,,26.8038,15.0593,24.7733013404617,16.9086242912563,12.7710511206479,11.199481865285,,,5.25581616045633,5.16966482964195
89.661,18.264,1.7853,51.42,6.0129,,,,,,,,,21.488,,,,,,,,,25.312,,,,,,,,,31.4061,15.7417,29.5102672352615,18.0478663085646,14.2410230378685,12.1679889896373,,,5.75399977385146,5.63134726699248
95.903,18.446,1.6079,46.62,5.4475,,,,,,,,,21.714,,,,,,,,,25.559,,,,,,,,,36.7955,16.3117,29.5102672352615,18.0478663085646,14.8193513941491,12.7422549654577,,,6.30006119300316,6.10714943749099
102.32,18.624,1.4486,42.286,4.9339,,,,,,,,,21.932,,,,,,,,,25.793,,,,,,,,,43.1083,16.8305,35.1501019568426,19.0734706057893,16.6991058401318,13.8770914291883,,,6.84128618971284,6.57758829849917
108.92,18.798,1.3055,38.368,4.4611,,,,,,,,,22.141,,,,,,,,,26.016,,,,,,,,,50.5032,17.3289,40.0741958630798,19.7574455386452,17.5051508352948,14.334304835924,,,7.39786849209744,7.06063441947811
115.69,18.969,1.1802,34.83,4.0255,,,,,,,,,22.344,,,,,,,,,26.23,,,,,,,,,59.1653,17.7915,45.1243179541527,20.4499782755395,19.1754822306963,15.2000755613126,,,8.02784857284974,7.55294443866764
